text,label
"Hello, how are you?",0
Verify your PayPal account immediately,1
Meeting at 10 AM,0
Verify your PayPal account immediately,1
Security alert: Unusual login,1
Your password has expired,1
Order confirmed,0
Order confirmed,0
Meeting at 10 AM,0
Security alert: Unusual login,1
Order confirmed,0
Thank you for your email,0
Security alert: Unusual login,1
URGENT: Account suspended! Click here,1
Security alert: Unusual login,1
URGENT: Account suspended! Click here,1
Order confirmed,0
URGENT: Account suspended! Click here,1
Your password has expired,1
Security alert: Unusual login,1
Meeting at 10 AM,0
Thank you for your email,0
Your password has expired,1
Order confirmed,0
Thank you for your email,0
Meeting at 10 AM,0
Meeting at 10 AM,0
Meeting at 10 AM,0
Thank you for your email,0
Security alert: Unusual login,1
"Hello, how are you?",0
"Hello, how are you?",0
Meeting at 10 AM,0
Security alert: Unusual login,1
Meeting at 10 AM,0
Meeting at 10 AM,0
"Hello, how are you?",0
Verify your PayPal account immediately,1
"Hello, how are you?",0
Order confirmed,0
Your password has expired,1
Order confirmed,0
Order confirmed,0
URGENT: Account suspended! Click here,1
"Hello, how are you?",0
Order confirmed,0
Meeting at 10 AM,0
Meeting at 10 AM,0
Thank you for your email,0
Security alert: Unusual login,1
Order confirmed,0
Security alert: Unusual login,1
"Hello, how are you?",0
Order confirmed,0
Verify your PayPal account immediately,1
Meeting at 10 AM,0
Order confirmed,0
Security alert: Unusual login,1
Verify your PayPal account immediately,1
Thank you for your email,0
Verify your PayPal account immediately,1
Verify your PayPal account immediately,1
Meeting at 10 AM,0
Thank you for your email,0
Meeting at 10 AM,0
URGENT: Account suspended! Click here,1
Security alert: Unusual login,1
Verify your PayPal account immediately,1
Meeting at 10 AM,0
"Hello, how are you?",0
Meeting at 10 AM,0
URGENT: Account suspended! Click here,1
"Hello, how are you?",0
Thank you for your email,0
Verify your PayPal account immediately,1
URGENT: Account suspended! Click here,1
Security alert: Unusual login,1
URGENT: Account suspended! Click here,1
Your password has expired,1
Your password has expired,1
Security alert: Unusual login,1
Your password has expired,1
URGENT: Account suspended! Click here,1
Meeting at 10 AM,0
"Hello, how are you?",0
"Hello, how are you?",0
Your password has expired,1
URGENT: Account suspended! Click here,1
Your password has expired,1
Your password has expired,1
Verify your PayPal account immediately,1
Thank you for your email,0
Meeting at 10 AM,0
Your password has expired,1
URGENT: Account suspended! Click here,1
Order confirmed,0
Order confirmed,0
Meeting at 10 AM,0
Order confirmed,0
Meeting at 10 AM,0
Your password has expired,1
Your password has expired,1
Meeting at 10 AM,0
Your password has expired,1
URGENT: Account suspended! Click here,1
Verify your PayPal account immediately,1
Meeting at 10 AM,0
Meeting at 10 AM,0
"Hello, how are you?",0
Verify your PayPal account immediately,1
Security alert: Unusual login,1
Order confirmed,0
Verify your PayPal account immediately,1
Verify your PayPal account immediately,1
Thank you for your email,0
Your password has expired,1
URGENT: Account suspended! Click here,1
URGENT: Account suspended! Click here,1
Security alert: Unusual login,1
"Hello, how are you?",0
Meeting at 10 AM,0
Your password has expired,1
Meeting at 10 AM,0
URGENT: Account suspended! Click here,1
Thank you for your email,0
Your password has expired,1
URGENT: Account suspended! Click here,1
Your password has expired,1
Meeting at 10 AM,0
Verify your PayPal account immediately,1
Security alert: Unusual login,1
Security alert: Unusual login,1
Meeting at 10 AM,0
Security alert: Unusual login,1
Verify your PayPal account immediately,1
Verify your PayPal account immediately,1
"Hello, how are you?",0
Thank you for your email,0
Thank you for your email,0
Verify your PayPal account immediately,1
Verify your PayPal account immediately,1
URGENT: Account suspended! Click here,1
Order confirmed,0
Thank you for your email,0
Order confirmed,0
Meeting at 10 AM,0
Security alert: Unusual login,1
Order confirmed,0
"Hello, how are you?",0
Order confirmed,0
URGENT: Account suspended! Click here,1
Thank you for your email,0
Security alert: Unusual login,1
URGENT: Account suspended! Click here,1
Thank you for your email,0
Verify your PayPal account immediately,1
Security alert: Unusual login,1
Your password has expired,1
Meeting at 10 AM,0
Meeting at 10 AM,0
Security alert: Unusual login,1
Order confirmed,0
Order confirmed,0
Verify your PayPal account immediately,1
Thank you for your email,0
Meeting at 10 AM,0
Meeting at 10 AM,0
Thank you for your email,0
Thank you for your email,0
Verify your PayPal account immediately,1
Thank you for your email,0
Thank you for your email,0
URGENT: Account suspended! Click here,1
Verify your PayPal account immediately,1
Thank you for your email,0
Order confirmed,0
URGENT: Account suspended! Click here,1
Meeting at 10 AM,0
Verify your PayPal account immediately,1
Order confirmed,0
Security alert: Unusual login,1
Meeting at 10 AM,0
Order confirmed,0
URGENT: Account suspended! Click here,1
Thank you for your email,0
Order confirmed,0
"Hello, how are you?",0
URGENT: Account suspended! Click here,1
Security alert: Unusual login,1
Verify your PayPal account immediately,1
Order confirmed,0
"Hello, how are you?",0
Meeting at 10 AM,0
Your password has expired,1
Security alert: Unusual login,1
Thank you for your email,0
Thank you for your email,0
Meeting at 10 AM,0
Meeting at 10 AM,0
Thank you for your email,0
Thank you for your email,0
Your password has expired,1
Security alert: Unusual login,1
Security alert: Unusual login,1
Order confirmed,0
Verify your PayPal account immediately,1
Your password has expired,1
